Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Arena,Notes
Fri Feb 1 2019,7:00p,Memphis Grizzlies,92,Charlotte Hornets,100,Box Score,,15387,Spectrum Center,
Fri Feb 1 2019,7:30p,Boston Celtics,113,New York Knicks,99,Box Score,,18343,Madison Square Garden (IV),
Fri Feb 1 2019,8:00p,Oklahoma City Thunder,118,Miami Heat,102,Box Score,,19600,AmericanAirlines Arena,
Fri Feb 1 2019,9:00p,Atlanta Hawks,112,Utah Jazz,128,Box Score,,18306,Vivint Smart Home Arena,
Fri Feb 1 2019,10:00p,Houston Rockets,122,Denver Nuggets,136,Box Score,,20106,Pepsi Center,
Sat Feb 2 2019,5:00p,Los Angeles Clippers,111,Detroit Pistons,101,Box Score,,17862,Little Caesars Arena,
Sat Feb 2 2019,7:00p,Chicago Bulls,118,Charlotte Hornets,125,Box Score,,19114,Spectrum Center,
Sat Feb 2 2019,7:00p,Brooklyn Nets,89,Orlando Magic,102,Box Score,,17385,Amway Center,
Sat Feb 2 2019,7:00p,Milwaukee Bucks,131,Washington Wizards,115,Box Score,,20409,Capital One Arena,
Sat Feb 2 2019,7:30p,Dallas Mavericks,111,Cleveland Cavaliers,98,Box Score,,19432,Quicken Loans Arena,
Sat Feb 2 2019,7:30p,Indiana Pacers,95,Miami Heat,88,Box Score,,19600,AmericanAirlines Arena,
Sat Feb 2 2019,8:30p,Los Angeles Lakers,101,Golden State Warriors,115,Box Score,,19596,Oracle Arena,
Sat Feb 2 2019,8:30p,New Orleans Pelicans,108,San Antonio Spurs,113,Box Score,,18354,AT&T Center,
Sat Feb 2 2019,9:00p,Denver Nuggets,107,Minnesota Timberwolves,106,Box Score,,17208,Target Center,
Sat Feb 2 2019,9:00p,Atlanta Hawks,118,Phoenix Suns,112,Box Score,,15534,Talking Stick Resort Arena,
Sat Feb 2 2019,9:00p,Houston Rockets,125,Utah Jazz,98,Box Score,,18306,Vivint Smart Home Arena,
Sat Feb 2 2019,10:00p,Philadelphia 76ers,108,Sacramento Kings,115,Box Score,,17583,Golden 1 Center,
Sun Feb 3 2019,1:00p,Memphis Grizzlies,96,New York Knicks,84,Box Score,,17025,Madison Square Garden (IV),
Sun Feb 3 2019,2:00p,Oklahoma City Thunder,129,Boston Celtics,134,Box Score,,18624,TD Garden,
Sun Feb 3 2019,3:00p,Los Angeles Clippers,103,Toronto Raptors,121,Box Score,,19800,Scotiabank Arena,
Mon Feb 4 2019,7:00p,Denver Nuggets,103,Detroit Pistons,129,Box Score,,12589,Little Caesars Arena,
Mon Feb 4 2019,7:00p,Atlanta Hawks,137,Washington Wizards,129,Box Score,,15025,Capital One Arena,
