Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Arena,Notes
Wed Jan 1 2020,6:00p,Orlando Magic,122,Washington Wizards,101,Box Score,,14921,Capital One Arena,
Wed Jan 1 2020,7:30p,Portland Trail Blazers,93,New York Knicks,117,Box Score,,19812,Madison Square Garden (IV),
Wed Jan 1 2020,8:00p,Minnesota Timberwolves,104,Milwaukee Bucks,106,Box Score,,17819,Fiserv Forum,
Wed Jan 1 2020,10:30p,Phoenix Suns,107,Los Angeles Lakers,117,Box Score,,18997,STAPLES Center,
Thu Jan 2 2020,7:00p,Charlotte Hornets,109,Cleveland Cavaliers,106,Box Score,,17859,Rocket Mortgage Fieldhouse,
Thu Jan 2 2020,7:00p,Denver Nuggets,124,Indiana Pacers,116,Box Score,,16688,Bankers Life Fieldhouse,
Thu Jan 2 2020,7:30p,Toronto Raptors,76,Miami Heat,84,Box Score,,19939,AmericanAirlines Arena,
Thu Jan 2 2020,8:00p,Utah Jazz,102,Chicago Bulls,98,Box Score,,19398,United Center,
Thu Jan 2 2020,8:00p,Golden State Warriors,84,Minnesota Timberwolves,99,Box Score,,15477,Target Center,
Thu Jan 2 2020,8:30p,Brooklyn Nets,111,Dallas Mavericks,123,Box Score,,20289,American Airlines Center,
Thu Jan 2 2020,8:30p,Oklahoma City Thunder,109,San Antonio Spurs,103,Box Score,,18354,AT&T Center,
Thu Jan 2 2020,10:00p,Memphis Grizzlies,123,Sacramento Kings,128,Box Score,,17351,Golden 1 Center,
Thu Jan 2 2020,10:30p,Detroit Pistons,112,Los Angeles Clippers,126,Box Score,,19068,STAPLES Center,
Fri Jan 3 2020,7:00p,Atlanta Hawks,106,Boston Celtics,109,Box Score,,19156,TD Garden,
Fri Jan 3 2020,7:00p,Miami Heat,85,Orlando Magic,105,Box Score,,17198,Amway Center,
Fri Jan 3 2020,7:00p,Portland Trail Blazers,122,Washington Wizards,103,Box Score,,17945,Capital One Arena,
Fri Jan 3 2020,8:00p,Philadelphia 76ers,108,Houston Rockets,118,Box Score,,18055,Toyota Center,
Fri Jan 3 2020,9:00p,New York Knicks,112,Phoenix Suns,120,Box Score,,18055,Talking Stick Resort Arena,
Fri Jan 3 2020,10:30p,New Orleans Pelicans,113,Los Angeles Lakers,123,Box Score,,18997,STAPLES Center,
Sat Jan 4 2020,3:30p,Memphis Grizzlies,140,Los Angeles Clippers,114,Box Score,,19068,STAPLES Center,
Sat Jan 4 2020,6:00p,Toronto Raptors,121,Brooklyn Nets,102,Box Score,,17732,Barclays Center,
Sat Jan 4 2020,7:00p,Utah Jazz,109,Orlando Magic,96,Box Score,,16913,Amway Center,
Sat Jan 4 2020,7:30p,Indiana Pacers,111,Atlanta Hawks,116,Box Score,,16420,State Farm Arena,
Sat Jan 4 2020,7:30p,Oklahoma City Thunder,121,Cleveland Cavaliers,106,Box Score,,19432,Rocket Mortgage Fieldhouse,
Sat Jan 4 2020,8:00p,Boston Celtics,111,Chicago Bulls,104,Box Score,,21130,United Center,
Sat Jan 4 2020,8:00p,Denver Nuggets,114,Washington Wizards,128,Box Score,,16233,Capital One Arena,
Sat Jan 4 2020,8:30p,Charlotte Hornets,123,Dallas Mavericks,120,Box Score,OT,20327,American Airlines Center,
Sat Jan 4 2020,8:30p,Detroit Pistons,111,Golden State Warriors,104,Box Score,,18064,Chase Center,
Sat Jan 4 2020,8:30p,San Antonio Spurs,118,Milwaukee Bucks,127,Box Score,,18002,Fiserv Forum,
