Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Arena,Notes
Sun Mar 1 2020,1:00p,Milwaukee Bucks,93,Charlotte Hornets,85,Box Score,,19149,Spectrum Center,
Sun Mar 1 2020,3:30p,Philadelphia 76ers,130,Los Angeles Clippers,136,Box Score,,19068,STAPLES Center,
Sun Mar 1 2020,3:30p,Dallas Mavericks,111,Minnesota Timberwolves,91,Box Score,,18058,Target Center,
Sun Mar 1 2020,6:00p,Toronto Raptors,118,Denver Nuggets,133,Box Score,,19777,Pepsi Center,
Sun Mar 1 2020,6:00p,Detroit Pistons,100,Sacramento Kings,106,Box Score,,17499,Golden 1 Center,
Sun Mar 1 2020,8:00p,Los Angeles Lakers,122,New Orleans Pelicans,114,Box Score,,18547,Smoothie King Center,
Sun Mar 1 2020,8:30p,Washington Wizards,124,Golden State Warriors,110,Box Score,,18064,Chase Center,
Mon Mar 2 2020,7:00p,Utah Jazz,126,Cleveland Cavaliers,113,Box Score,,15453,Rocket Mortgage Fieldhouse,
Mon Mar 2 2020,7:00p,Houston Rockets,123,New York Knicks,125,Box Score,,18142,Madison Square Garden (IV),
Mon Mar 2 2020,7:00p,Portland Trail Blazers,130,Orlando Magic,107,Box Score,,18078,Amway Center,
Mon Mar 2 2020,7:30p,Memphis Grizzlies,127,Atlanta Hawks,88,Box Score,,16207,State Farm Arena,
Mon Mar 2 2020,7:30p,Milwaukee Bucks,89,Miami Heat,105,Box Score,,19600,AmericanAirlines Arena,
Mon Mar 2 2020,8:00p,Dallas Mavericks,107,Chicago Bulls,109,Box Score,,18407,United Center,
Mon Mar 2 2020,8:30p,Indiana Pacers,116,San Antonio Spurs,111,Box Score,,17635,AT&T Center,
Tue Mar 3 2020,7:00p,San Antonio Spurs,104,Charlotte Hornets,103,Box Score,,12008,Spectrum Center,
Tue Mar 3 2020,7:30p,Brooklyn Nets,129,Boston Celtics,120,Box Score,OT,19156,TD Garden,
Tue Mar 3 2020,8:00p,Minnesota Timberwolves,139,New Orleans Pelicans,134,Box Score,,15264,Smoothie King Center,
Tue Mar 3 2020,8:00p,Los Angeles Clippers,109,Oklahoma City Thunder,94,Box Score,,18203,Chesapeake Energy Arena,
Tue Mar 3 2020,9:00p,Golden State Warriors,116,Denver Nuggets,100,Box Score,,19520,Pepsi Center,
Tue Mar 3 2020,9:00p,Toronto Raptors,123,Phoenix Suns,114,Box Score,,15553,Talking Stick Resort Arena,
Tue Mar 3 2020,10:00p,Philadelphia 76ers,107,Los Angeles Lakers,120,Box Score,,18997,STAPLES Center,
