Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Arena,Notes
Tue Jun 1 2021,7:30p,Boston Celtics,109,Brooklyn Nets,123,Box Score,,14993,Barclays Center,
Tue Jun 1 2021,9:00p,Portland Trail Blazers,140,Denver Nuggets,147,Box Score,2OT,10463,Ball Arena,
Tue Jun 1 2021,10:00p,Los Angeles Lakers,85,Phoenix Suns,115,Box Score,,16163,Phoenix Suns Arena,
Wed Jun 2 2021,7:00p,Washington Wizards,112,Philadelphia 76ers,129,Box Score,,15523,Wells Fargo Center,
Wed Jun 2 2021,7:30p,Atlanta Hawks,103,New York Knicks,89,Box Score,,16512,Madison Square Garden (IV),
Wed Jun 2 2021,9:30p,Memphis Grizzlies,110,Utah Jazz,126,Box Score,,14250,Vivint Smart Home Arena,
Wed Jun 2 2021,10:00p,Dallas Mavericks,105,Los Angeles Clippers,100,Box Score,,7428,STAPLES Center,
Thu Jun 3 2021,8:00p,Denver Nuggets,126,Portland Trail Blazers,115,Box Score,,10022,Moda Center,
Thu Jun 3 2021,10:30p,Phoenix Suns,113,Los Angeles Lakers,100,Box Score,,8550,STAPLES Center,
Fri Jun 4 2021,9:00p,Los Angeles Clippers,104,Dallas Mavericks,97,Box Score,,18324,American Airlines Center,
Sat Jun 5 2021,7:30p,Milwaukee Bucks,107,Brooklyn Nets,115,Box Score,,15750,Barclays Center,
Sun Jun 6 2021,1:00p,Atlanta Hawks,128,Philadelphia 76ers,124,Box Score,,18624,Wells Fargo Center,
Sun Jun 6 2021,3:30p,Dallas Mavericks,111,Los Angeles Clippers,126,Box Score,,7342,STAPLES Center,
Mon Jun 7 2021,7:30p,Milwaukee Bucks,86,Brooklyn Nets,125,Box Score,,15776,Barclays Center,
Mon Jun 7 2021,10:00p,Denver Nuggets,105,Phoenix Suns,122,Box Score,,16219,Phoenix Suns Arena,
Tue Jun 8 2021,7:30p,Atlanta Hawks,102,Philadelphia 76ers,118,Box Score,,18624,Wells Fargo Center,
Tue Jun 8 2021,10:00p,Los Angeles Clippers,109,Utah Jazz,112,Box Score,,18007,Vivint Smart Home Arena,
Wed Jun 9 2021,9:30p,Denver Nuggets,98,Phoenix Suns,123,Box Score,,16529,Phoenix Suns Arena,
Thu Jun 10 2021,7:30p,Brooklyn Nets,83,Milwaukee Bucks,86,Box Score,,16310,Fiserv Forum,
Thu Jun 10 2021,10:00p,Los Angeles Clippers,111,Utah Jazz,117,Box Score,,18007,Vivint Smart Home Arena,
Fri Jun 11 2021,7:30p,Philadelphia 76ers,127,Atlanta Hawks,111,Box Score,,16432,State Farm Arena,
Fri Jun 11 2021,10:00p,Phoenix Suns,116,Denver Nuggets,102,Box Score,,18277,Ball Arena,
Sat Jun 12 2021,8:30p,Utah Jazz,106,Los Angeles Clippers,132,Box Score,,8185,STAPLES Center,
Sun Jun 13 2021,3:00p,Brooklyn Nets,96,Milwaukee Bucks,107,Box Score,,16310,Fiserv Forum,
Sun Jun 13 2021,8:00p,Phoenix Suns,125,Denver Nuggets,118,Box Score,,18290,Ball Arena,
Mon Jun 14 2021,7:30p,Philadelphia 76ers,100,Atlanta Hawks,103,Box Score,,16502,State Farm Arena,
Mon Jun 14 2021,10:00p,Utah Jazz,104,Los Angeles Clippers,118,Box Score,,8474,STAPLES Center,
Tue Jun 15 2021,8:30p,Milwaukee Bucks,108,Brooklyn Nets,114,Box Score,,16067,Barclays Center,
Wed Jun 16 2021,7:30p,Atlanta Hawks,109,Philadelphia 76ers,106,Box Score,,18624,Wells Fargo Center,
Wed Jun 16 2021,10:00p,Los Angeles Clippers,119,Utah Jazz,111,Box Score,,18007,Vivint Smart Home Arena,
Thu Jun 17 2021,8:30p,Brooklyn Nets,89,Milwaukee Bucks,104,Box Score,,16310,Fiserv Forum,
Fri Jun 18 2021,7:30p,Philadelphia 76ers,104,Atlanta Hawks,99,Box Score,,16610,State Farm Arena,
Fri Jun 18 2021,10:00p,Utah Jazz,119,Los Angeles Clippers,131,Box Score,,17105,STAPLES Center,
Sat Jun 19 2021,8:30p,Milwaukee Bucks,115,Brooklyn Nets,111,Box Score,OT,16287,Barclays Center,
Sun Jun 20 2021,3:30p,Los Angeles Clippers,114,Phoenix Suns,120,Box Score,,16583,Phoenix Suns Arena,
Sun Jun 20 2021,8:00p,Atlanta Hawks,103,Philadelphia 76ers,96,Box Score,,18624,Wells Fargo Center,
Tue Jun 22 2021,9:00p,Los Angeles Clippers,103,Phoenix Suns,104,Box Score,,16645,Phoenix Suns Arena,
Wed Jun 23 2021,8:30p,Atlanta Hawks,116,Milwaukee Bucks,113,Box Score,,16310,Fiserv Forum,
Thu Jun 24 2021,9:00p,Phoenix Suns,92,Los Angeles Clippers,106,Box Score,,17222,STAPLES Center,
Fri Jun 25 2021,8:30p,Atlanta Hawks,91,Milwaukee Bucks,125,Box Score,,16422,Fiserv Forum,
Sat Jun 26 2021,9:00p,Phoenix Suns,84,Los Angeles Clippers,80,Box Score,,18222,STAPLES Center,
Sun Jun 27 2021,8:30p,Milwaukee Bucks,113,Atlanta Hawks,102,Box Score,,16650,State Farm Arena,
Mon Jun 28 2021,9:00p,Los Angeles Clippers,116,Phoenix Suns,102,Box Score,,16664,Phoenix Suns Arena,
Tue Jun 29 2021,8:30p,Milwaukee Bucks,88,Atlanta Hawks,110,Box Score,,16478,State Farm Arena,
Wed Jun 30 2021,9:00p,Phoenix Suns,130,Los Angeles Clippers,103,Box Score,,18495,STAPLES Center,
