Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Arena,Notes
Fri Dec 1 2023,7:00p,Washington Wizards,125,Orlando Magic,130,Box Score,,18846,Amway Center,
Fri Dec 1 2023,7:30p,Philadelphia 76ers,119,Boston Celtics,125,Box Score,,19156,TD Garden,
Fri Dec 1 2023,7:30p,Memphis Grizzlies,108,Dallas Mavericks,94,Box Score,,20150,American Airlines Center,
Fri Dec 1 2023,7:30p,New York Knicks,119,Toronto Raptors,106,Box Score,,19800,Scotiabank Arena,
Fri Dec 1 2023,8:00p,San Antonio Spurs,106,New Orleans Pelicans,121,Box Score,,17028,Smoothie King Center,
Fri Dec 1 2023,10:00p,Denver Nuggets,119,Phoenix Suns,111,Box Score,,17071,Footprint Center,
Sat Dec 2 2023,4:00p,Golden State Warriors,112,Los Angeles Clippers,113,Box Score,,19370,Crypto.com Arena,
Sat Dec 2 2023,5:00p,Minnesota Timberwolves,123,Charlotte Hornets,117,Box Score,,17731,Spectrum Center,
Sat Dec 2 2023,7:00p,Orlando Magic,101,Brooklyn Nets,129,Box Score,,17966,Barclays Center,
Sat Dec 2 2023,7:00p,Cleveland Cavaliers,110,Detroit Pistons,101,Box Score,,18924,Little Caesars Arena,
Sat Dec 2 2023,8:00p,New Orleans Pelicans,118,Chicago Bulls,124,Box Score,,20511,United Center,
Sat Dec 2 2023,8:00p,Indiana Pacers,144,Miami Heat,129,Box Score,,19650,Kaseya Center,
Sat Dec 2 2023,8:00p,Atlanta Hawks,121,Milwaukee Bucks,132,Box Score,,17866,Fiserv Forum,
Sat Dec 2 2023,9:00p,Oklahoma City Thunder,126,Dallas Mavericks,120,Box Score,,20277,American Airlines Center,
Sat Dec 2 2023,9:00p,Memphis Grizzlies,109,Phoenix Suns,116,Box Score,,17071,Footprint Center,
Sat Dec 2 2023,9:30p,Portland Trail Blazers,113,Utah Jazz,118,Box Score,OT,18206,Delta Center,
Sat Dec 2 2023,10:00p,Denver Nuggets,117,Sacramento Kings,123,Box Score,,17829,Golden 1 Center,
Sat Dec 2 2023,10:30p,Houston Rockets,97,Los Angeles Lakers,107,Box Score,,18997,Crypto.com Arena,
Mon Dec 4 2023,7:30p,Boston Celtics,,Indiana Pacers,,,,,Gainbridge Fieldhouse,In-Season Tournament
Mon Dec 4 2023,10:00p,New Orleans Pelicans,,Sacramento Kings,,,,,Golden 1 Center,In-Season Tournament
Tue Dec 5 2023,7:30p,New York Knicks,,Milwaukee Bucks,,,,,Fiserv Forum,In-Season Tournament
Tue Dec 5 2023,10:00p,Phoenix Suns,,Los Angeles Lakers,,,,,Crypto.com Arena,In-Season Tournament
Wed Dec 6 2023,7:00p,Orlando Magic,,Cleveland Cavaliers,,,,,Rocket Mortgage Fieldhouse,
Wed Dec 6 2023,7:00p,Memphis Grizzlies,,Detroit Pistons,,,,,Little Caesars Arena,
Wed Dec 6 2023,7:00p,Philadelphia 76ers,,Washington Wizards,,,,,Capital One Arena,
Wed Dec 6 2023,7:30p,Brooklyn Nets,,Atlanta Hawks,,,,,State Farm Arena,
Wed Dec 6 2023,7:30p,San Antonio Spurs,,Minnesota Timberwolves,,,,,Target Center,
Wed Dec 6 2023,7:30p,Miami Heat,,Toronto Raptors,,,,,Scotiabank Arena,
Wed Dec 6 2023,8:00p,Charlotte Hornets,,Chicago Bulls,,,,,United Center,
Wed Dec 6 2023,8:00p,Oklahoma City Thunder,,Houston Rockets,,,,,Toyota Center,
Wed Dec 6 2023,8:30p,Utah Jazz,,Dallas Mavericks,,,,,American Airlines Center,
Wed Dec 6 2023,10:00p,Portland Trail Blazers,,Golden State Warriors,,,,,Chase Center,
Wed Dec 6 2023,10:00p,Denver Nuggets,,Los Angeles Clippers,,,,,Crypto.com Arena,
Fri Dec 8 2023,7:00p,Toronto Raptors,,Charlotte Hornets,,,,,Spectrum Center,
Fri Dec 8 2023,7:00p,Detroit Pistons,,Orlando Magic,,,,,Amway Center,
Fri Dec 8 2023,7:00p,Atlanta Hawks,,Philadelphia 76ers,,,,,Wells Fargo Center,
Fri Dec 8 2023,7:30p,Washington Wizards,,Brooklyn Nets,,,,,Barclays Center,
Fri Dec 8 2023,8:00p,Minnesota Timberwolves,,Memphis Grizzlies,,,,,FedEx Forum,
Fri Dec 8 2023,8:00p,Cleveland Cavaliers,,Miami Heat,,,,,Kaseya Center,
Fri Dec 8 2023,8:00p,Golden State Warriors,,Oklahoma City Thunder,,,,,Paycom Center,
Fri Dec 8 2023,8:30p,Chicago Bulls,,San Antonio Spurs,,,,,Frost Bank Center,
Fri Dec 8 2023,9:00p,Houston Rockets,,Denver Nuggets,,,,,Ball Arena,
Fri Dec 8 2023,10:00p,Dallas Mavericks,,Portland Trail Blazers,,,,,Moda Center,
Fri Dec 8 2023,10:00p,Los Angeles Clippers,,Utah Jazz,,,,,Delta Center,
Mon Dec 11 2023,7:00p,Miami Heat,,Charlotte Hornets,,,,,Spectrum Center,
Mon Dec 11 2023,7:00p,Indiana Pacers,,Detroit Pistons,,,,,Little Caesars Arena,
Mon Dec 11 2023,7:00p,Cleveland Cavaliers,,Orlando Magic,,,,,Amway Center,
Mon Dec 11 2023,7:00p,Washington Wizards,,Philadelphia 76ers,,,,,Wells Fargo Center,
Mon Dec 11 2023,7:30p,Denver Nuggets,,Atlanta Hawks,,,,,State Farm Arena,
Mon Dec 11 2023,7:30p,Toronto Raptors,,New York Knicks,,,,,Madison Square Garden (IV),
Mon Dec 11 2023,8:00p,San Antonio Spurs,,Houston Rockets,,,,,Toyota Center,
Mon Dec 11 2023,8:00p,Dallas Mavericks,,Memphis Grizzlies,,,,,FedEx Forum,
