Категория: Все категории

Неделя,Python: (Россия),C: (Россия),Java: (Россия),PHP: (Россия)
2018-12-23,30,58,25,18
2018-12-30,15,43,14,8
2019-01-06,26,47,21,15
2019-01-13,31,52,27,19
2019-01-20,31,56,26,18
2019-01-27,30,49,27,20
2019-02-03,33,53,26,19
2019-02-10,34,56,27,19
2019-02-17,35,53,28,20
2019-02-24,35,52,27,19
2019-03-03,32,57,26,18
2019-03-10,36,55,28,18
2019-03-17,36,57,27,20
2019-03-24,36,53,30,21
2019-03-31,37,54,29,21
2019-04-07,37,58,29,21
2019-04-14,34,56,28,18
2019-04-21,38,58,28,20
2019-04-28,26,52,21,16
2019-05-05,29,52,22,17
2019-05-12,33,55,27,19
2019-05-19,37,55,29,20
2019-05-26,37,54,30,22
2019-06-02,39,52,32,22
2019-06-09,36,48,28,18
2019-06-16,39,52,31,22
2019-06-23,38,49,30,21
2019-06-30,40,50,30,20
2019-07-07,41,48,31,21
2019-07-14,40,49,31,21
2019-07-21,37,48,29,19
2019-07-28,35,46,26,19
2019-08-04,39,46,28,20
2019-08-11,41,49,29,21
2019-08-18,39,48,30,22
2019-08-25,38,46,30,20
2019-09-01,39,53,30,22
2019-09-08,44,54,31,20
2019-09-15,44,57,30,19
2019-09-22,42,60,30,20
2019-09-29,44,57,29,20
2019-10-06,42,57,30,20
2019-10-13,42,53,30,20
2019-10-20,43,54,30,18
2019-10-27,44,52,30,18
2019-11-03,41,50,27,17
2019-11-10,39,50,29,16
2019-11-17,40,51,28,18
2019-11-24,43,50,27,17
2019-12-01,42,51,28,18
2019-12-08,38,53,27,18
2019-12-15,41,53,27,17
2019-12-22,39,53,26,17
2019-12-29,22,44,15,9
2020-01-05,30,44,21,13
2020-01-12,40,51,28,18
2020-01-19,37,53,28,16
2020-01-26,39,51,28,16
2020-02-02,41,54,28,17
2020-02-09,44,58,29,18
2020-02-16,45,53,30,20
2020-02-23,44,53,28,17
2020-03-01,42,57,29,18
2020-03-08,42,52,26,17
2020-03-15,41,53,26,16
2020-03-22,42,50,26,18
2020-03-29,43,51,27,16
2020-04-05,40,56,27,16
2020-04-12,40,59,27,15
2020-04-19,40,64,27,15
2020-04-26,42,61,27,15
2020-05-03,44,51,28,15
2020-05-10,43,62,25,15
2020-05-17,43,64,27,16
2020-05-24,49,55,29,17
2020-05-31,40,48,27,18
2020-06-07,41,52,25,16
2020-06-14,45,46,26,18
2020-06-21,40,46,25,17
2020-06-28,41,46,24,16
2020-07-05,45,50,29,17
2020-07-12,42,47,26,17
2020-07-19,45,48,27,17
2020-07-26,40,49,26,17
2020-08-02,41,46,25,17
2020-08-09,41,46,25,16
2020-08-16,42,45,26,17
2020-08-23,41,48,27,18
2020-08-30,42,48,27,18
2020-09-06,46,53,30,17
2020-09-13,45,56,29,16
2020-09-20,44,58,28,16
2020-09-27,40,55,25,15
2020-10-04,44,53,24,14
2020-10-11,37,52,23,13
2020-10-18,37,59,22,12
2020-10-25,39,50,22,12
2020-11-01,37,49,23,11
2020-11-08,37,49,23,12
2020-11-15,38,48,22,11
2020-11-22,36,55,21,12
2020-11-29,35,51,21,12
2020-12-06,37,54,22,12
2020-12-13,36,55,20,12
2020-12-20,31,55,18,11
2020-12-27,25,46,15,9
2021-01-03,22,45,13,6
2021-01-10,33,52,20,10
2021-01-17,36,47,21,12
2021-01-24,38,53,22,13
2021-01-31,39,52,22,12
2021-02-07,38,50,22,12
2021-02-14,45,52,24,12
2021-02-21,35,54,20,11
2021-02-28,40,54,21,13
2021-03-07,40,53,21,12
2021-03-14,44,56,23,12
2021-03-21,44,53,25,13
2021-03-28,48,53,24,12
2021-04-04,43,54,23,12
2021-04-11,41,55,24,12
2021-04-18,42,51,23,13
2021-04-25,43,54,23,12
2021-05-02,34,37,20,10
2021-05-09,37,54,21,11
2021-05-16,41,53,24,12
2021-05-23,40,51,23,12
2021-05-30,41,49,25,12
2021-06-06,38,46,24,12
2021-06-13,38,45,21,12
2021-06-20,39,46,22,12
2021-06-27,37,46,23,12
