Категория: Все категории

Неделя,Dota 2: (Россия),CS GO: (Россия),PUBG: (Россия)
2018-12-30,22,53,60
2019-01-06,20,52,59
2019-01-13,22,43,55
2019-01-20,26,45,56
2019-01-27,29,46,61
2019-02-03,22,43,57
2019-02-10,19,47,51
2019-02-17,21,50,54
2019-02-24,22,48,52
2019-03-03,25,50,49
2019-03-10,23,45,48
2019-03-17,21,44,50
2019-03-24,23,47,56
2019-03-31,19,43,43
2019-04-07,17,41,40
2019-04-14,16,36,46
2019-04-21,15,41,44
2019-04-28,19,45,47
2019-05-05,29,35,42
2019-05-12,26,34,39
2019-05-19,26,33,37
2019-05-26,26,37,43
2019-06-02,22,38,42
2019-06-09,23,36,45
2019-06-16,25,38,38
2019-06-23,32,36,38
2019-06-30,33,42,42
2019-07-07,34,40,40
2019-07-14,29,37,46
2019-07-21,24,37,48
2019-07-28,24,38,48
2019-08-04,28,37,45
2019-08-11,47,39,49
2019-08-18,76,50,48
2019-08-25,56,54,45
2019-09-01,26,47,36
2019-09-08,21,49,35
2019-09-15,24,43,34
2019-09-22,23,42,35
2019-09-29,26,44,39
2019-10-06,25,40,60
2019-10-13,21,38,64
2019-10-20,21,40,50
2019-10-27,20,41,47
2019-11-03,18,41,47
2019-11-10,19,37,40
2019-11-17,20,50,43
2019-11-24,38,40,41
2019-12-01,24,40,42
2019-12-08,17,40,41
2019-12-15,22,43,41
2019-12-22,17,40,40
2019-12-29,17,48,54
2020-01-05,19,50,52
2020-01-12,19,43,42
2020-01-19,23,45,44
2020-01-26,24,47,39
2020-02-02,24,49,41
2020-02-09,26,51,38
2020-02-16,22,49,37
2020-02-23,19,61,39
2020-03-01,21,62,39
2020-03-08,21,56,38
2020-03-15,20,58,37
2020-03-22,19,59,43
2020-03-29,22,76,52
2020-04-05,21,64,40
2020-04-12,24,63,42
2020-04-19,22,64,43
2020-04-26,22,65,47
2020-05-03,25,71,56
2020-05-10,21,59,49
2020-05-17,21,56,42
2020-05-24,40,58,43
2020-05-31,23,56,47
2020-06-07,21,52,34
2020-06-14,22,48,33
2020-06-21,24,48,34
2020-06-28,23,48,33
2020-07-05,22,46,34
2020-07-12,24,45,33
2020-07-19,20,46,33
2020-07-26,21,45,32
2020-08-02,21,50,34
2020-08-09,20,47,31
2020-08-16,22,46,34
2020-08-23,20,43,33
2020-08-30,23,41,32
2020-09-06,18,38,36
2020-09-13,19,39,32
2020-09-20,19,33,27
2020-09-27,17,32,27
2020-10-04,15,34,25
2020-10-11,16,40,26
2020-10-18,14,35,26
2020-10-25,19,38,28
2020-11-01,18,45,38
2020-11-08,18,40,35
2020-11-15,18,42,31
2020-11-22,18,39,29
2020-11-29,17,45,27
2020-12-06,17,44,28
2020-12-13,33,43,28
2020-12-20,18,41,27
2020-12-27,13,46,32
2021-01-03,20,50,37
2021-01-10,16,37,30
2021-01-17,16,42,28
2021-01-24,17,44,27
2021-01-31,16,41,27
2021-02-07,17,42,28
2021-02-14,17,41,25
2021-02-21,17,51,38
2021-02-28,17,44,31
2021-03-07,15,45,35
2021-03-14,14,46,29
2021-03-21,22,52,46
2021-03-28,27,43,32
2021-04-04,31,44,23
2021-04-11,22,41,26
2021-04-18,19,38,22
2021-04-25,17,36,26
2021-05-02,20,56,28
2021-05-09,19,37,26
2021-05-16,18,35,26
2021-05-23,19,39,28
2021-05-30,22,47,30
2021-06-06,24,38,27
2021-06-13,23,38,33
2021-06-20,29,34,23
2021-06-27,19,34,21
2021-07-04,24,38,26
2021-07-11,17,32,24
2021-07-18,19,36,23
2021-07-25,17,33,23
2021-08-01,18,36,25
2021-08-08,18,36,28
2021-08-15,29,37,22
2021-08-22,24,37,24
2021-08-29,19,35,22
2021-09-05,18,31,19
2021-09-12,20,37,19
2021-09-19,17,40,19
2021-09-26,18,35,18
2021-10-03,37,35,19
2021-10-10,66,32,17
2021-10-17,82,35,18
2021-10-24,32,43,21
2021-10-31,30,60,29
2021-11-07,26,49,36
2021-11-14,23,38,35
2021-11-21,25,37,24
2021-11-28,22,34,21
2021-12-05,20,31,21
2021-12-12,27,37,19
2021-12-19,21,35,20
2021-12-26,21,37,22
2022-01-02,37,53,37
2022-01-09,39,47,59
2022-01-16,40,43,41
2022-01-23,35,45,38
2022-01-30,34,49,33
2022-02-06,30,45,28
2022-02-13,36,48,31
2022-02-20,78,51,26
2022-02-27,32,43,22
2022-03-06,28,51,30
2022-03-13,26,46,35
2022-03-20,30,48,36
2022-03-27,30,48,34
2022-04-03,29,42,32
2022-04-10,26,43,31
2022-04-17,31,44,30
2022-04-24,40,43,26
2022-05-01,44,48,28
2022-05-08,43,65,27
2022-05-15,51,85,26
2022-05-22,38,66,25
2022-05-29,36,66,23
2022-06-05,44,71,23
2022-06-12,33,86,24
2022-06-19,32,85,24
2022-06-26,30,85,22
2022-07-03,32,93,22
2022-07-10,38,96,26
2022-07-17,41,94,26
2022-07-24,38,100,27
2022-07-31,46,95,25
2022-08-07,80,95,26
2022-08-14,62,96,24
2022-08-21,56,96,25
2022-08-28,67,93,26
2022-09-04,54,88,26
2022-09-11,44,80,25
2022-09-18,34,67,25
2022-09-25,35,66,23
2022-10-02,39,76,26
2022-10-09,64,58,23
2022-10-16,75,44,23
2022-10-23,79,43,24
2022-10-30,79,57,28
2022-11-06,42,61,25
2022-11-13,35,65,25
2022-11-20,33,55,23
2022-11-27,32,48,24
2022-12-04,34,43,23
2022-12-11,30,45,22
2022-12-18,34,41,23
2022-12-25,32,46,25
2023-01-01,35,59,32
2023-01-08,43,50,25
2023-01-15,37,49,27
2023-01-22,37,46,25
2023-01-29,40,50,25
2023-02-05,33,60,27
2023-02-12,36,57,27
2023-02-19,46,60,27
2023-02-26,55,55,23
2023-03-05,76,67,27
2023-03-12,38,61,32
2023-03-19,36,86,23
2023-03-26,35,69,24
2023-04-02,37,56,20
2023-04-09,39,52,20
2023-04-16,80,49,19
2023-04-23,52,59,18
2023-04-30,54,44,21
2023-05-07,40,52,19
2023-05-14,35,51,20
2023-05-21,33,43,19
2023-05-28,35,40,19
2023-06-04,32,38,17
2023-06-11,39,38,19
2023-06-18,37,36,18
2023-06-25,36,36,20
2023-07-02,54,38,21
2023-07-09,34,39,25
2023-07-16,34,40,25
2023-07-23,47,39,24
2023-07-30,38,44,21
2023-08-06,47,35,20
2023-08-13,39,40,22
2023-08-20,38,37,21
2023-08-27,46,45,21
2023-09-03,31,39,23
2023-09-10,35,35,23
2023-09-17,38,35,21
2023-09-24,41,55,20
2023-10-01,30,34,19
2023-10-08,43,27,23
2023-10-15,44,24,19
2023-10-22,59,23,21
2023-10-29,80,24,22
2023-11-05,32,21,25
2023-11-12,35,17,23
2023-11-19,38,18,21
2023-11-26,26,18,25
2023-12-03,24,17,28
2023-12-10,48,17,24
2023-12-17,36,14,23
